time,up_speed,down_speed
17:09:37,0,0
17:09:38,9530,323252
17:09:39,0,0
17:09:41,0,0
17:09:42,0,0
17:09:43,0,0
17:09:44,0,0
17:09:45,6220,323318
17:09:46,0,0
17:09:47,787,760
17:09:48,0,0
17:09:49,66,62
17:09:50,132,132
17:09:51,8488,323252
17:09:52,226,220
17:09:53,0,0
17:09:54,0,0
17:09:55,0,0
17:09:56,0,0
17:09:57,7564,323252
17:09:58,171,105
17:09:59,147,93
17:10:00,0,0
17:10:01,7024,323252
17:10:02,0,0
17:10:03,0,0
17:10:04,441,279
17:10:05,0,0
17:10:06,171,133
17:10:08,5956,323252
17:10:09,66,62
17:10:10,0,0
17:10:11,0,0
17:10:12,0,0
17:10:13,11782,330826
17:10:14,8609,85058
17:10:15,913,5801
17:10:16,108,193
17:10:17,37556,1926822
17:10:18,112793,4683018
17:10:19,54402,2364763
17:10:20,13830,1000302
17:10:21,0,0
17:10:22,320,246
17:10:23,66,0
17:10:24,0,0
17:10:25,0,0
17:10:26,0,0
17:10:27,0,0
17:10:28,66,62
17:10:29,36417,775837
17:10:30,22438,647157
17:10:31,0,0
17:10:32,9608,322775
17:10:34,6802,322643
17:10:35,627,418
17:10:36,78,0
17:10:37,7141,322840
17:10:38,78,0
17:10:39,8320,322643
17:10:40,0,0
17:10:41,0,0
17:10:42,33649,2354687
17:10:43,13430,364558
17:10:44,6248,968
17:10:45,0,0
17:10:46,0,0
17:10:47,54,139
17:10:48,16080,1014073
17:10:49,318,198
17:10:50,0,0
17:10:51,0,0
17:10:52,320,378
17:10:53,5244,1346
17:10:54,174,802
17:10:55,132,132
17:10:56,0,0
17:10:57,0,0
17:10:58,119949,5011248
17:10:59,20973,752039
17:11:00,0,0
17:11:01,6127,322926
17:11:02,0,0
17:11:04,0,0
17:11:05,7900,324858
17:11:06,0,0
17:11:07,171,133
17:11:08,4975,323012
17:11:09,2538,71840
17:11:10,66,66
17:11:11,6529,322858
17:11:12,162,185
17:11:13,0,0
17:11:14,0,0
17:11:15,7297,322924
17:11:16,0,0
17:11:17,0,0
17:11:18,6805,322925
17:11:19,318,198
17:11:20,0,0
17:11:21,7499,322858
17:11:22,320,312
17:11:23,7549,322924
17:11:24,0,0
17:11:25,0,0
17:11:26,0,0
17:11:27,8953,322924
17:11:28,4327,1511
17:11:29,34908,325074
17:11:30,948,66
17:11:31,0,0
17:11:33,0,0
17:11:34,7861,322924
17:11:35,573,465
17:11:36,0,0
17:11:37,171,133
17:11:38,5557,322858
17:11:39,0,0
17:11:40,0,0
17:11:41,0,0
17:11:42,0,0
17:11:43,0,0
17:11:44,0,0
17:11:45,0,0
17:11:46,6350,322861
17:11:47,0,0
17:11:48,132,126
17:11:49,252,198
17:11:50,7983,322967
17:11:51,0,0
17:11:52,160,156
17:11:53,132,313
17:11:54,6807,322926
17:11:55,0,0
17:11:56,0,0
17:11:57,0,0
17:11:58,8435,323034
17:11:59,0,0
17:12:01,0,0
17:12:02,5251,323082
17:12:03,2376,164496
17:12:04,132,219
17:12:05,6793,323233
17:12:06,8734,322860
17:12:07,11817,322993
17:12:08,5746,322860
17:12:09,7996,322986
17:12:10,1324,4277
17:12:11,0,0
17:12:12,66,66
17:12:13,66,66
17:12:14,0,0
17:12:15,0,0
17:12:16,0,0
17:12:17,0,0
17:12:18,0,0
17:12:19,213,186
17:12:20,10659,914823
17:12:21,0,0
17:12:22,238,156
17:12:23,78,0
17:12:24,78,0
17:12:25,78,0
17:12:26,78,0
17:12:27,0,0
17:12:29,2533,1362
17:12:31,8481,1492
17:12:32,2368,5888
17:12:33,2541,6569
17:12:34,1726,4168
17:12:35,6831,8038
17:12:36,1242,2812
17:12:37,2794,6786
17:12:38,3368,9766
17:12:39,3009,7501
17:12:40,0,0
